Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Mar 2024 4:28:15 PM

Supplier,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1945-2024,Percentage,Sum total years,Percentage of total
United States,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,6,,,,,,,16,1,2,,,,1,,,,36,36,,150,344,391,536,761,467,,5,,,,,,9,9,13,2,,50,44,98,64,6,33,37,17,,,,,3139,33%,3139,33%
Soviet Union,,,,,,,,,,,,,,,,38,42,15,222,77,71,31,75,,21,15,4,,12,99,52,35,12,105,35,302,21,31,26,11,31,36,34,34,75,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617,17%,1617,17%
Sweden,,,,,,,,,,,,,,3,,1,,,3,,,1,,10,,,,26,1,57,57,39,,,5,,17,,,29,72,48,27,106,,13,13,27,5,5,5,5,,8,3,3,3,3,26,67,49,90,61,10,13,15,15,,30,8,10,,,5,,,,,7,,998,11%,998,11%
France,,,,,,,,,,,,,,,18,1,10,11,11,10,10,10,1,,,,,,,,,,,,,,,,,,,,,,,3,3,137,271,122,40,3,3,3,3,3,3,3,3,,3,5,,35,,7,14,7,59,57,57,5,,,,,,,,,928,9.9%,928,9.9%
United Kingdom,,,,,,,,19,,,11,15,,21,23,15,,12,1,1,,,,,,,,,,12,15,,,,,17,77,85,85,85,87,5,,,10,25,23,,55,43,,,3,,,,,,,,,,,,,,,,,,,0 ,1,0 ,,,,,,,744,7.9%,744,7.9%
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,7,4,,,,2,15,145,40,54,,,,12,,,,,208,,18,16,23,,,,,,,,,,,,,,,,,,548,5.8%,548,5.8%
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,11,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,3.1%,294,3.1%
Italy,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,5,,,,,,,,,,,,,7,7,14,72,72,7,7,58,,,,,,,,,263,2.8%,263,2.8%
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,40,40,40,40,41,2,8,,,,248,2.6%,248,2.6%
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,2,0 ,,,,,,3,2,4,1,,,,,65,62,60,,,,,3,2,2,,,211,2.2%,211,2.2%
Switzerland,,,,,,,,,,,,,,,,,,10,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,11,,,,,,,,,,,,,,,116,1.2%,116,1.2%
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,15,14,,9,13,,,,,,,,,,,18,18,18,,,105,1.1%,105,1.1%
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,13,11,11,11,,63,0.7%,63,0.7%
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,5,6,14,6,,1,1,1,4,,,,,,,,,,,,47,0.5%,47,0.5%
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,13,,,,,,,,,,,,,,38,0.4%,38,0.4%
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,11,0.1%,11,0.1%
Canada,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,5,0.1%,5,0.1%
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
Total exports to Finland,,,,,,,,19,,,11,15,3,25,41,54,52,48,252,103,81,42,76,23,21,15,4,26,13,172,129,74,12,105,47,328,118,132,112,127,203,98,66,141,85,88,65,440,406,234,195,552,397,560,768,472,7,15,242,67,93,132,141,135,42,54,60,79,278,182,278,166,47,87,86,53,38,30,17,,9376,100%,9376,

